Bus Number,Starting Point,Ending Point,Via,High Frequency Route,Night Service Route,Low Frequency Route
20K,Ambattur I.E,Thiruverkadu,,,,x
20M,Broadway,Kumaran Nagar,Villivakkam,,,
20N,Broadway,Poombukar,Villivakkam,,,x
20P,Ambattur I.E,Poonamallee,"Ayapakkam, Saveetha Engineering College, Kumananchavadi, Karaiyanchavadi",,,
20T,Villivakkam,Thiruverkadu,"Ambattur I.E, Ayapakkam",,,
21,Broadway,Mandaveli,"Mylapore, Luz, Ajanta, Express Avenue, L.I.C, Simpson, Central",x,,
219,Kelambakkam,Ambattur I.E,"Collector Nagar, Thirumangalam, Anna Arch, Choolaimedu, Mahalingapuram, T.Nagar, Saidapet, Madhya Kailash, Tidel Park, Thoraipakkam, Siruseri",,,
21D,Broadway,Thiruvanmiyur,"Indira Nagar, Besant Nagar, Foreshore Estate, Anna Square",x,,
21E,Broadway,Iyyapanthangal,"Porur, Guindy, Adayar, Foreshore Estate, Anna Square",,,
21G,Broadway,Tambaram,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university, Guindy, Pallavaram",x,,
21H,Broadway,Kelambakkam,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Perungudi, Sholinganallur, Navalur",x,,
21H Cut,Thiruvanmiyur,Kelambakkam,"SRP Tools,Perungudi,Sholinganallur,Navalur,Padur",,,
21H xt,Thiruvotriyur,Kelambakkam,"Tollgate, Broadway, Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools,Perungudi,Sholinganallur,Navalur",,,
21J,Velachery,Guduvanchery,"Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road, Poondi Bazar, Tambaram Sanatorium, Tambaram West, Vandalur",,,
21J cut,Velachery,Tambaram West,"Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road, Poondi Bazar, Tambaram Sanatorium",,,
21K,Broadway,Bharath Electronics,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, Anna University, Guindy, Butt Road, Defence Colony",,,
21L,Broadway,Velachery,"Marina Beach, Foreshore Estate, MRC Nagar, Adyar, Anna University, Rajbhavan, Checkpost, Dhandeswarnagar",x,,
21L xt,Broadway,Kilkattalai,"Marina Beach, Foreshore Estate, MRC Nagar, Adyar, Anna University, Velachery",,,
21P,Velachery,Tambaram,"Madipakkam, Kilkattalai, Eachangadu, Chromepet",,,
22,Ayanavaram,Anna Square,"Egmore, Triplicane,Kannagi statue",x,,
221H,Kelambakkam,Central R.S,"LIC,DMS, Saidapet,IIT Chennai, Madhya Kailash, Tidel Park, Thoraipakkam, SIRUSERI",x,,
22A,Thirunamiyur,Ambattur I.E,"Korattur, Lucas, Nathamuni, ICF, Ayanavaram, Kellys, Purasaiwakkam, Egmore, Triplicane,Kannagi statue, Santhome, AMS, Adyar",,,
22B,Korattur,Anna Square,"Lucas, Nathamuni, ICF, Ayanavaram, Kellys, Purasaiwakkam, Egmore, Triplicane,Kannagi statue",,,
22M,Thirunamiyur,Manali,"Mathur Gate,Moolakadai,Vysarpadi, Egmore, Triplicane,Kannagi statue, Adyar",,,
23C,Ayanavaram,Besant Nagar/Thiruvanmiyur,"Purasaiwakkam, Egmore, LIC, TVS, Saidapet, Adyar",x,,
23C xt,Korattur,Thiruvanmiyur,"Lucas, Nathamuni, ICF, Ayanavaram, Purasaiwakkam, Egmore, LIC, TVS, Saidapet, Adyar",,,
23M,Thiruvanmiyur,CMBT,"Jayanthi, Adyar, Gandhi mandapam, Little mount, Saidapet, T.Nagar, Panagal park, Liberty, Power house, Vadapalani, MMDA Colony",,,
23M cut,Besant nagar,CMBT,"Adyar, Gandhi mandapam, Little mount, Saidapet, T.Nagar, Panagal park, Liberty, Power house, Vadapalani, MMDA Colony",,,
23V,Velachery,Villivakkam,"ICF, Ayanavaram, Purasaiwakkam, Egmore, LIC, TVS, Saidapet, Check post",,,
242,Red Hills,Broadway,"Central R.S, Vepery, Doveton, Perambur, Kolathur, Puzhal",x,x,
242xt,Red Hills,Anna Square,,,,
242xt,Padiyanallur,Broadway,"Perambur, Central R.S",,,
248,V Nagar,Pudur,"Ambattur, Ambattur IE, Padi, Nadhamuni, ICF, Joint Office, Otteri, Pattalam, Pulianthopu Police station, Basin Bridge",x,,
248A,V Nagar,Kallikuppam,Pudur,,,
248P,V Nagar,Puthagaram,Pudur,,,x
248xt,V Nagar,Oragadam,"Ambattur, Ambattur IE, Padi, Lucas TVS, ICF, Joint Office, Otteri, Basin Bridge",,,
24A,V House,Anna Nagar West,"Shanthi Colony, K4 Police station, Chinthamani, Aminijikarai, Chetpet, Gemini, Royapetah",x,,
24C,V House,Avadi,"Ambattur OT, Collector Nagar, Blue Star, Chinthamani, Aminijikarai, Chetpet, Gemini, Royapetah",x,,
251A,Agaramthen,T.Nagar,"Bharath Engg. College, Camp Road, Kamarajapuram, Medavakkam, Velachery, Saidapet",,,
253,Aminjikarai,Vellavedu,"NSK, Mathuravoyal, Vellapanchavadi, Kumananchavadi, Poonamallee, Thirumazhisai",x,,
254,High Court,Iyyapanthangal,"SRMC, Porur, Ramapuram, Guindy, Saidapet, SIET, DMS, TVS, LIC, Central R.S.",,,
25G,Anna Square,Poonamallee,"Kannaki Statue, V.House, Royapettah, Palmgrove, Liberty, Vadapalani, Porur, Iyyapanthangal, Kumananchavadi",x,x,
266,Avadi,Tambaram,"Govardhanagiri, Kaduveti, Karaiyanchavadi, Kumananchavadi, Mangadu, Kundrathur, Pallavaram",x,,
270J,CMBT,Mathur,"Thirumangalam, Madhavaram",,,
27B,CMBT,Anna Square,"Koyambedu, Arumbakkam, NSK nagar,Amijikarai, KMC, Chetpet, MMC School, Egmore RS, Chindatripet, Zimson, Triplicane, Kannaki Statue",x,x,
27C,T. Nagar,Thiruverkadu,"Panagal park, Bharathinagar, Liberty, Power house, Vadapalani, MMDA Colony, CMBT, Koyambedu Market, Nerkundram, Maduravoyal, Vanagaram, Velappan chavadi",x,,
27C cut,T. Nagar,Anna nagar West,"Panagal park, Bharathinagar, Liberty, Power house, Vadapalani, MMDA Colony, CMBT, Thirumangalam",,,
27D,Foreshore Estate,Villivakkam,"Santhome, AIR, V.M.Street, Stella Maris College, Thousand Lights, LIC, Pudhupet, Maternity Hospital, Egmore RS, Dasaprakash, Purasaiwakkam, Kellys, Ayanavaram, ICF",x,,
27E,Anna Square,Elango nagar officer colony,"Collector nagar, Thirumangalam, Rountana, Amijikarai, KMC, Egmore RS, Zimson, Triplicane, Kannaki Statue",,,
27H,Anna Square,Avadi,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Padi, Ambattur OT",x,,
27H xt,Anna Square,Pattabiram,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Padi, Ambattur OT, Avadi",x,,
27L,Anna Square,Mogappair West,"Triplicane, Ethiraj College, Loyola College, Choolaimedu, Thirumangalam",x,,
